Status,Section Name,Title,Dates,Location,Instructional Methods,Meeting Information,Faculty,Availability ,Credits,Course Types,Academic Level
Open,MSPAN-3030-01 ,READING STRATEGIES IN SPANISH,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 2:00-2:50 PM 1/9/2023 - 5/6/2023 OM 217 (LEC) ","Nelson, Catherine E. ",13 / 22 / 0,2 Credits,"Mlang Electives
Modern Language",Undergraduate
Open,MSPAN-3050-01 ,SPAN LANG/WRITING,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 2:00-2:50 PM 1/9/2023 - 5/6/2023 OM 207 (LEC) ","Borzone, Manuela ",18 / 22 / 0,2 Credits,"Mlang Electives
Writing Instructive
Modern Language",Undergraduate
Open,MSPAN-3050-02 ,SPAN LANG/WRITING,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 3:00-3:50 PM 1/9/2023 - 5/6/2023 OM 207 (LEC) ","Borzone, Manuela ",17 / 22 / 0,2 Credits,"Mlang Electives
Writing Instructive
Modern Language",Undergraduate
Open,MSPAN-3310-01 ,ART OF PUBLIC SPEAKING,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 1:00-1:50 PM 1/9/2023 - 5/6/2023 OM 218 (LEC) ","Cano, Jaime ",18 / 22 / 0,2 Credits,"Mlang Electives
Speaking Instructive",Undergraduate
Open,MSPAN-3600-01 ,INTRO TRANSLATION I,1/9/2023-3/3/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 1/9/2023 - 3/3/2023 OM 217 (LEC) ","Nelson, Catherine E. ",16 / 22 / 0,2 Credits,"1ST 8-WEEK Session
Mlang Electives
Diversity-Global
Going Global Thread",Undergraduate
Open,MSPAN-3610-01 ,INTRO TRANSLATION II,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 3/13/2023 - 5/6/2023 OM 217 (LEC) ","Nelson, Catherine E. ",17 / 22 / 0,2 Credits,"2ND 8-WEEK Session
Mlang Electives
Diversity-Global
Going Global Thread",Undergraduate
Open,MSPAN-3960-01 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Nelson, Catherine E. ",20 / 20 / 0,1 to 15 Credits,Mlang Electives,Undergraduate
Open,MSPAN-4310-01 ,ART OF PUBLIC SPEAKING,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 1:00-1:50 PM 1/9/2023 - 5/6/2023 OM 218 (LEC) ","Cano, Jaime ",18 / 22 / 0,2 Credits,"Mlang Electives
Speaking Instructive",Undergraduate
Open,MSPAN-4600-01 ,INTRO TRANSLATION I,1/9/2023-3/3/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 1/9/2023 - 3/3/2023 OM 217 (LEC) ","Nelson, Catherine E. ",16 / 22 / 0,2 Credits,"1ST 8-WEEK Session
Mlang Electives
Diversity-Global
Going Global Thread",Undergraduate
Open,MSPAN-4610-01 ,INTRO TRANSLATION II,3/13/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 3/13/2023 - 5/6/2023 OM 217 (LEC) ","Nelson, Catherine E. ",17 / 22 / 0,2 Credits,"2ND 8-WEEK Session
Mlang Electives
Diversity-Global
Going Global Thread",Undergraduate
Open,MUSIC-1000-01 ,RECITALS,1/9/2023-5/6/2023,Lincoln,LECTURE,F 1:00-1:50 PM 1/9/2023 - 5/6/2023 RFA 126 (LEC) ,"Holzmeier, Jana J. ",90 / 99 / 0,0 Credits, ,Undergraduate
Open,MUSIC-1020-01 ,UNIVERSITY CHOIR,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 12:00-12:50 PM 1/9/2023 - 5/6/2023 RFA 300 (LEC) ","Trenney, Thomas E. ",42 / 64 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1030-01 ,UNIV/LINCOLN CIVIC ORCHESTRA,1/9/2023-5/6/2023,Lincoln,LECTURE,Th 7:30-9:30 PM 1/9/2023 - 5/6/2023 RFA 100 (LEC) ,"Noser, Brett 
Roach, Joshua ",99 / 99 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1040-01 ,UNIVERSITY BAND,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, W, Th 4:00-5:30 PM 1/9/2023 - 5/6/2023 RFA 120 (LEC) ","Roach, Joshua ",85 / 99 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1070-01 ,CHAMBER ENSEMBLES,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Ricker, Richard W. 
Roach, Joshua ",15 / 15 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1080-01 ,JAZZ CHOIR,1/9/2023-5/6/2023,Lincoln,"LECTURE
LECTURE","T, Th 12:00-12:50 PM 1/9/2023 - 5/6/2023 RFA 300 (LEC) F 12:00-12:50 PM 1/9/2023 - 5/6/2023 RFA AUD (LEC) ","Eschliman, Samuel 
Holzmeier, Jana J. ",18 / 20 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1090-01 ,PRAIRIE WLVS PEP BAND,1/9/2023-5/6/2023,Lincoln,LECTURE,Th 5:45-6:35 PM 1/9/2023 - 5/6/2023 RFA 126 (LEC) ,"Iverson, Daniel 
Roach, Joshua ",95 / 99 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1100-01 ,JAZZ ENSEMBLE,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 3:00-3:50 PM 1/9/2023 - 5/6/2023 RFA 120 (LEC) ","Roach, Joshua ",99 / 99 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1120-01 ,OPERA MUSICAL,1/9/2023-5/6/2023,Lincoln,"LECTURE
LECTURE","M, W 4:00-5:30 PM 1/9/2023 - 5/6/2023 RFA 300 (LEC) Th 5:30-6:20 PM 1/9/2023 - 5/6/2023 RFA 300 (LEC) ","Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1130-01 ,CHAMBER SINGERS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 11:00-11:50 AM 1/9/2023 - 5/6/2023 RFA 300 (LEC) ","Trenney, Thomas E. ",99 / 99 / 0,0 to 1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1160-01 ,CMPOSE:FILM&VIDEO GAME,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 11:00-11:50 AM 1/9/2023 - 5/6/2023 LUC 104 (LEC) ","Kaup, Steven J. ",13 / 16 / 0,3 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1200-01 ,PIANO,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 115 (ARR) ,"Jones, Larry E. 
Holzmeier, Jana J. ",96 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1200-02 ,PIANO,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Jiang, Feifei 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1210-01 ,ORGAN,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA AUD (ARR) ,"Bacon, Masako N. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1230-01 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 101 (ARR) ,"Guevara, Amy L. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1230-02 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 102 (ARR) ,"Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1230-03 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 105 (ARR) ,"Pawlewski Krogh, Dawn M. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1230-04 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1240-01 ,FLUTE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Bobenhouse, Elizabeth A. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1250-01 ,OBOE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Trucke, Brandy 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1260-01 ,CLARINET,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Zaev, Pance 
Holzmeier, Jana J. ",98 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1270-01 ,SAXOPHONE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 120 (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1280-01 ,BASSOON,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Besch, Joyce E. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1290-01 ,FRENCH HORN,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Ricker, Richard W. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1300-01 ,TRUMPET,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Roach, Joshua 
Holzmeier, Jana J. ",98 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1310-01 ,TROMBONE & EUPHONIUM,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1320-01 ,TUBA,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1330-01 ,PERCUSSION,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 120 (ARR) ,"Snider, Robert C. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1340-01 ,GUITAR,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 107 (ARR) ,"Martinez, Daniel A. 
Holzmeier, Jana J. ",97 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1350-01 ,VIOLIN,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Carnes, Donna S. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1360-01 ,VIOLA,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Carnes, Donna S. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 3 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1370-01 ,CELLO,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1380-01 ,STRING BASS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-1500-01 ,PIANO FUNDAMENTALS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 115 (ARR) ,"Jones, Larry E. ",9 / 10 / 0,1 Credits, ,Undergraduate
Open,MUSIC-1510-01 ,PIANO PROFICIENCY I,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 115 (ARR) ,"Jones, Larry E. ",10 / 10 / 0,1 Credits, ,Undergraduate
Open,MUSIC-1510L-01 ,PIANO PROF 1 LAB,1/9/2023-5/6/2023,Lincoln,LECTURE,T 11:00-11:50 AM 1/9/2023 - 5/6/2023 RFA 130 (LEC) ,"Jones, Larry E. ",10 / 10 / 0,0 Credits, ,Undergraduate
Open,MUSIC-1520-01 ,PIANO PROFICIENCY II,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 115 (ARR) ,"Jones, Larry E. ",10 / 10 / 0,1 Credits, ,Undergraduate
Open,MUSIC-1520L-01 ,PIANO PROF II LAB,1/9/2023-5/6/2023,Lincoln,LECTURE,Th 11:00-11:50 AM 1/9/2023 - 5/6/2023 RFA 130 (LEC) ,"Jones, Larry E. ",10 / 10 / 0,0 Credits, ,Undergraduate
Open,MUSIC-1570-01 ,PERCUSSION TECHNIQUES,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 1:00-1:50 PM 1/9/2023 - 5/6/2023 RFA 120 (LEC) ","Snider, Robert C. 
Holzmeier, Jana J. ",13 / 15 / 0,1 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-1630-01 ,MUSIC THEORY II,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 RFA 300B (LEC) ","Kaup, Steven J. ",23 / 25 / 0,3 Credits, ,Undergraduate
Open,MUSIC-1640-01 ,BASIC MUSICIANSHIP II,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:00-10:50 AM 1/9/2023 - 5/6/2023 RFA 300B (LEC) ","Kaup, Steven J. ",23 / 25 / 0,1 Credits, ,Undergraduate
Open,MUSIC-2200-01 ,PIANO,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 115 (ARR) ,"Jones, Larry E. 
Holzmeier, Jana J. ",95 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2210-01 ,ORGAN,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA AUD (ARR) ,"Bacon, Masako N. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2230-01 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 101 (ARR) ,"Guevara, Amy L. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2230-02 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 102 (ARR) ,"Holzmeier, Jana J. ",96 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2230-03 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 105 (ARR) ,"Pawlewski Krogh, Dawn M. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2240-01 ,FLUTE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Bobenhouse, Elizabeth A. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2250-01 ,OBOE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Trucke, Brandy 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2260-01 ,CLARINET,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Zaev, Pance 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2270-01 ,SAXOPHONE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 120 (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2280-01 ,BASSOON,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Besch, Joyce E. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2290-01 ,FRENCH HORN,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Ricker, Richard W. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2300-01 ,TRUMPET,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Roach, Joshua 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2310-01 ,TROMBONE & EUPHONIUM,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2320-01 ,TUBA,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 106 (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2330-01 ,PERCUSSION,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 120 (ARR) ,"Snider, Robert C. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2340-01 ,GUITAR,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 107 (ARR) ,"Martinez, Daniel A. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2350-01 ,VIOLIN,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Carnes, Donna S. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2360-01 ,VIOLA,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Carnes, Donna S. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2370-01 ,CELLO,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-2380-01 ,STRING BASS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,Creative/Perf Arts,Undergraduate
Open,MUSIC-2400-01 ,INTRO VOCAL LIT,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 9:00-9:50 AM 1/9/2023 - 5/6/2023 RFA 126 (LEC) ","Holzmeier, Jana J. ",19 / 20 / 0,1 Credits, ,Undergraduate
Open,MUSIC-2510-01 ,CONDUCTING II,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 1:00-1:50 PM 1/9/2023 - 5/6/2023 RFA 300 (LEC) ","Trenney, Thomas E. ",13 / 15 / 0,2 Credits, ,Undergraduate
Open,MUSIC-2630-01 ,MUSIC THEORY IV,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 8:00-8:50 AM 1/9/2023 - 5/6/2023 RFA 300B (LEC) ","Kaup, Steven J. ",22 / 25 / 0,3 Credits,"Speaking Instructive
Chaos Thread",Undergraduate
Open,MUSIC-2640-01 ,MUSICIANSHIP IV,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:00-8:50 AM 1/9/2023 - 5/6/2023 RFA 300B (LEC) ","Kaup, Steven J. ",22 / 25 / 0,1 Credits, ,Undergraduate
Open,MUSIC-2700-01 ,MUSIC TECHNOLOGY,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-2:50 PM 1/9/2023 - 5/6/2023 RFA 300B (LEC) ","Roach, Joshua ",12 / 15 / 0,2 Credits, ,Undergraduate
Open,MUSIC-2810-01 ,WORLD MUSIC CULTURES,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W 2:00-3:15 PM 1/9/2023 - 5/6/2023 RFA 126 (LEC) ","Staff-MUSIC, F. ",14 / 20 / 0,3 Credits,"Mlang Electives
Diversity-Global
Discourse Instructive
Experiential Exploratory
Identity Thread",Undergraduate
Open,MUSIC-2860-01 ,MUS HIST 2:ANTIRACISM,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:20-11:30 AM 1/9/2023 - 5/6/2023 RFA 126 (LEC) ","Spilker, John D. ",4 / 20 / 0,4 Credits,"Writing Instructive
Diversity-U.S.
Power Thread
Discourse Instructive",Undergraduate
Open,MUSIC-3200-01 ,PIANO,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 115 (ARR) ,"Jones, Larry E. 
Holzmeier, Jana J. ",98 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-3230-01 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 101 (ARR) ,"Guevara, Amy L. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-3230-02 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 102 (ARR) ,"Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-3230-03 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 105 (ARR) ,"Pawlewski Krogh, Dawn M. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-3350-01 ,VIOLIN,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Carnes, Donna S. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-3360-01 ,VIOLA,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 103 (ARR) ,"Carnes, Donna S. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-3530L-01 ,SEC INSTR MTHDS LAB,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",20 / 20 / 0,0 Credits, ,Undergraduate
Open,MUSIC-3540L-01 ,ELEM MUS MTHD LAB,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",20 / 20 / 0,0 Credits, ,Undergraduate
Open,MUSIC-3550L-01 ,SEC CHORAL MTHS LAB,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 126 (ARR) ,"Staff-MUSIC, F. 
Holzmeier, Jana J. ",20 / 20 / 0,0 Credits, ,Undergraduate
Open,MUSIC-3860-01 ,MUS HIST 2:ANTIRACISM,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:20-11:30 AM 1/9/2023 - 5/6/2023 RFA 126 (LEC) ","Spilker, John D. ",6 / 20 / 0,4 Credits,"Writing Instructive
Diversity-U.S.
Power Thread
Discourse Instructive",Undergraduate
Open,MUSIC-4200-01 ,PIANO,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 115 (ARR) ,"Jones, Larry E. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
Open,MUSIC-4230-01 ,VOICE,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 RFA 301 (ARR) ,"Guevara, Amy L. 
Holzmeier, Jana J. ",99 / 99 / 0,1 to 2 Credits,"Music Applied Lesson
Creative/Perf Arts",Undergraduate
